index,artist,country,genre,gender,group_size,debut_album_year,track_name,uri,image_uri,song_uri,song_image_uri,embedded_track
0,Drake,ca,Hip Hop,m,1,2009,Rich Baby Daddy (feat. Sexyy Red & SZA),spotify:artist:3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,https://p.scdn.co/mp3-preview/b05595d63200498786692be1f6d79f1685b4e2b5?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,https://open.spotify.com/embed/track/1yeB8MUNeLo9Ek1UEpsyz6
1,Taylor Swift,us,Pop,f,1,2006,Cruel Summer,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4,https://p.scdn.co/mp3-preview/dba15da5409f3c808022cf927c0ff8581f717aa4?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,https://open.spotify.com/embed/track/1BxfuPKGuaTgP7aM0Bbdwr
2,The Weeknd,ca,Pop,m,1,2011,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,https://p.scdn.co/mp3-preview/e5bb7776aff44435b938eb084b2eca23e6c7f5ed?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273c87bfeef81a210ddb7f717b5,https://open.spotify.com/embed/track/1VNWdmXSbaNrnWod10WIL0
3,Bad Bunny,pr,Latin,m,1,2018,PERRO NEGRO,spotify:artist:4q3ewBCX7sLwd24euuV69X,https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df,https://p.scdn.co/mp3-preview/56ebd640e918ff135fed691da3c5697568e60a77?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,https://open.spotify.com/embed/track/7iQXYTyuG13aoeHxGG28Nh
4,Justin Bieber,ca,Pop,m,1,2009,Ghost,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,https://p.scdn.co/mp3-preview/10746d0627d5dd428001083030cf6726c5e92c67?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,https://open.spotify.com/embed/track/6I3mqTwhRpn34SLVafSH7G
5,Eminem,us,Hip Hop,m,1,1999,Without Me,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,https://p.scdn.co/mp3-preview/35fc7456c892c11867fe1513b92dc44e9664eaba?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,https://open.spotify.com/embed/track/7lQ8MOhq6IN2w8EYcFNSUk
6,Kanye West,us,Hip Hop,m,1,2004,Bound 2,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,https://p.scdn.co/mp3-preview/29e764b42b388d06a2d4abdc2bdae9e1834cf296?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,https://open.spotify.com/embed/track/4EWCNWgDS8707fNSZ1oaA5
7,Rihanna,bb,Pop,f,1,2005,We Found Love,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789,https://p.scdn.co/mp3-preview/3067667dfd88c43dbe49d977a03d7158cd02a06b?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,https://open.spotify.com/embed/track/6qn9YLKt13AGvpq9jfO8py
8,Post Malone,us,Hip Hop,m,1,2016,Sunflower - Spider-Man: Into the Spider-Verse,spotify:artist:246dkjvS1zLTtiykXe5h60,https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1,https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://open.spotify.com/embed/track/0RiRZpuVRbi7oqRdSMwhQY
9,Travis Scott,us,Hip Hop,m,1,2015,FE!N (feat. Playboi Carti),spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,https://p.scdn.co/mp3-preview/4b0178cf6991f59db18e12e2219ff11e27474b0a?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,https://open.spotify.com/embed/track/42VsgItocQwOQC3XWZ8JNA
